id;name;category;duration_min;difficulty;physical_intensity;requires_morning;requires_silence;max_completions_per_day;habit_min_streak_days;habit_min_score;steps;contraindications;benefits;tags
215;Письмо будущему себе;reflection;15;2;low;false;false;1;14;70;Напиши письмо себе через 6-12 месяцев | Что важно не забыть, что поддерживает, чего хочешь придерживаться | Заверши одним конкретным обещанием себе | Поставь напоминание прочитать;none;Проясняет ценности и намерения, создаёт обязательство перед собой, помогает сохранить фокус, мотивирует долгосрочно.;reflection,future,values,commitment,motivation
216;Письмо прошлому себе;reflection;20;2;low;false;false;1;14;70;Напиши прошлому себе 5-10 фраз поддержки | Что ты теперь знаешь, что помогло пройти трудность, за что можно поблагодарить себя тогдашнего | Пиши с состраданием;none;Исцеляет прошлое, развивает самосострадание, помогает интегрировать опыт, снижает сожаления, создаёт целостность.;reflection,self_compassion,healing,integration,past
217;Рефлексия границ;reflection;30;2;low;false;false;1;14;70;Подумай о своих границах | Где говоришь «да», когда хочешь «нет» | Где нужно укрепить границы | Запиши одну границу, которую установишь на этой неделе | Продумай как скажешь;none;Помогает осознать и укрепить границы, развивает самоуважение, улучшает отношения, снижает выгорание, учит заботе о себе.;reflection,boundaries,self_care,relationships,assertiveness
218;Рефлексия триггеров;reflection;5;2;low;false;false;1;14;70;Замечай что тебя триггерит (злит, пугает, расстраивает) | Запиши ситуацию, реакцию, что под этим (страх, боль, потребность) | Что можешь сделать иначе | Развивай осознанность;none;Помогает понять триггеры, развивает самоосознанность, снижает реактивность, даёт выбор в реакциях, исцеляет паттерны.;reflection,triggers,awareness,healing,patterns
219;Рефлексия восстановления;reflection;7;2;low;false;false;1;14;70;Подумай что тебя восстанавливает | Запиши 5-10 вещей, которые наполняют энергией | Как часто делаешь их сейчас | Выбери одну, которую добавишь на этой неделе | Запланируй конкретно;none;Помогает осознать источники восстановления, предотвращает выгорание, улучшает самозаботу, повышает энергию, создаёт баланс.;reflection,restoration,self_care,energy,balance
220;Дневник самосострадания;reflection;10;2;low;false;false;1;14;70;Опиши трудную ситуацию в нейтральных фактах | Затем напиши себе ответ тоном заботливого друга | Признание боли, понимание, один бережный следующий шаг | Перечитай с теплом;none;Развивает самосострадание, помогает быть с трудностями, снижает самокритику, исцеляет через письмо, создаёт внутреннюю поддержку.;reflection,self_compassion,writing,support,healing
221;Журнал достижений дня;reflection;12;1;low;false;false;1;14;70;Вечером запиши 3 вещи, которые сделал сегодня | Даже маленькие: встал вовремя, позвонил другу, сделал работу | Признавай свои действия | Замечай прогресс;none;Повышает самооценку, помогает видеть прогресс, снижает ощущение «ничего не сделал», развивает признание себя.;reflection,achievements,self_esteem,progress,recognition
222;Осознанная прогулка без телефона;daily;1;1;low;false;false;1;14;70;Выйди на короткую прогулку без телефона или с телефоном в кармане | Первые 3 минуты наблюдай шаг, дыхание, окружение | Если отвлёкся, вернись к ощущениям стоп | Просто иди и замечай;none;Развивает осознанность, отключает от технологий, успокаивает ум, возвращает в тело, простая ежедневная практика.;daily,walking,mindfulness,nature,digital_detox
223;Awe Walk (прогулка благоговения);daily;2;1;low;false;false;1;14;70;Выйди на прогулку с намерением замечать красоту и удивительное | Смотри на небо, деревья, архитектуру | Открывайся чувству благоговения перед миром | 15-30 минут | Без телефона;none;Повышает благополучие, снижает стресс, расширяет перспективу, соединяет с чем-то большим, улучшает настроение.;daily,walking,awe,nature,wellbeing
224;Активное слушание;daily;3;2;low;false;false;3;21;70;В разговоре 2-5 минут не перебивай | Смотри на собеседника | Перефразируй услышанное одной фразой: «Я правильно понял, что…?» | Только потом отвечай | Практикуй регулярно;none;Улучшает отношения, развивает эмпатию, помогает понимать других, снижает конфликты, создаёт связь.;daily,communication,listening,relationships,empathy
225;Пауза перед ответом;daily;5;1;low;false;false;5;21;70;Перед ответом на сообщение или реплику сделай один полный вдох и выдох | Спроси себя: «Что я хочу усилить этим ответом?» | Только потом отвечай | Практикуй осознанность в общении;none;Снижает реактивность, улучшает качество общения, развивает осознанность, помогает избежать конфликтов, создаёт паузу.;daily,communication,pause,mindfulness,response
226;Осознанное мытьё посуды;daily;10;1;low;false;false;1;21;70;Во время мытья посуды держи внимание на ощущениях рук, температуре воды, движениях, звуках | Каждый раз когда уходишь в мысли, возвращайся к текущему действию | Просто мой посуду;none;Превращает рутину в практику, развивает осознанность, успокаивает ум, учит присутствию в обычных делах.;daily,mindfulness,chores,presence,simple
227;Осознанная чистка зубов;daily;15;1;low;false;false;2;21;70;Чисти зубы без телефона и параллельных дел | Замечай движение щётки, вкус пасты, дыхание | 2 минуты используй как мини-практику присутствия | Утром и вечером;none;Превращает ежедневное действие в практику, развивает осознанность, создаёт паузы, учит присутствию, очень доступна.;daily,mindfulness,routine,presence,simple
228;Осознанный душ;daily;20;1;low;false;false;1;21;70;Проведи первые 60-90 секунд душа в полной осознанности | Ощущай температуру воды, запах, контакт воды с кожей, дыхание | Не прокручивай дела | Просто будь под душем;none;Превращает душ в практику, развивает осознанность, создаёт паузу перед днём, успокаивает, учит присутствию.;daily,mindfulness,routine,presence,morning
229;Осознанное ожидание в очереди;daily;1;1;low;false;false;5;21;70;Пока ждёшь, расправь плечи, почувствуй стопы | Сделай 3-5 медленных выдохов | Используй ожидание не для скролла, а как короткую паузу восстановления | Просто стой и дыши;none;Превращает ожидание в практику, снижает раздражение, развивает терпение, создаёт паузы, альтернатива скроллу.;daily,mindfulness,waiting,pause,patience
230;Осознанный старт работы (1 минута);daily;2;1;low;false;false;1;21;70;Перед началом работы закрой лишние вкладки | Сделай 3 дыхания | Запиши одну главную задачу ближайших 25 минут | Начни без переключения на сообщения | Фокус на одном;none;Улучшает фокус, повышает продуктивность, снижает отвлечения, создаёт осознанный старт, помогает с прокрастинацией.;daily,work,focus,productivity,mindfulness
231;Ритуал завершения рабочего дня;daily;3;1;low;false;false;1;21;70;В конце дня выпиши: что завершено, что остаётся, какой первый шаг завтра | Закрой ноутбук после этого списка | Не продолжай день мысленно | Отпусти работу;none;Помогает отпустить работу, улучшает баланс, снижает стресс, готовит к следующему дню, создаёт границу.;daily,work,closure,balance,boundaries
232;Одно доброе сообщение;daily;5;1;low;false;false;1;21;70;Отправь одному человеку короткое искреннее сообщение | За что благодарен или что в нём ценишь | Добавь 1 конкретный пример, а не общую фразу | Делай регулярно;none;Укрепляет отношения, развивает благодарность, улучшает настроение обоим, создаёт связь, простое доброе действие.;daily,kindness,relationships,gratitude,connection
233;Микроакт щедрости;daily;10;1;low;false;false;1;21;70;Сделай небольшой акт доброты или щедрости сегодня | Помочь, уступить, поделиться, поддержать словом | После этого на 10 секунд заметь своё состояние в теле | Что чувствуешь;none;Повышает благополучие, развивает щедрость, улучшает настроение, создаёт связь, сажает кармические семена.;daily,kindness,generosity,wellbeing,connection
234;Микроакт доброты для незнакомца;daily;15;1;low;false;false;1;21;70;Сделай что-то доброе для незнакомого человека | Придержи дверь, улыбнись, помоги донести | Без ожидания благодарности | Замечай как себя чувствуешь после;none;Расширяет круг заботы, развивает доброту, повышает благополучие, создаёт позитив в мире, улучшает настроение.;daily,kindness,strangers,generosity,wellbeing
235;Give It Up (временный отказ от маленького удовольствия);daily;20;2;low;false;false;1;21;70;На день или несколько часов осознанно откажись от маленького удовольствия (сладкое, скролл, кофе) | Наблюдай импульс: когда возникает, как ощущается, как проходит | Не суди себя;none;Развивает самоконтроль, учит наблюдать импульсы, снижает автоматизм, повышает осознанность желаний, тренирует волю.;daily,self_control,awareness,impulses,discipline
236;Осознанное питание первого кусочка;daily;1;1;low;false;false;3;21;70;Сделай первый кусочек или глоток полностью осознанно | Посмотри, понюхай, медленно прожуй | Замечай вкус и текстуру | Не отвлекайся на экран хотя бы 1 минуту | Остальное ешь как обычно;none;Развивает осознанность в еде, помогает с перееданием, учит замедляться, улучшает отношения с пищей, очень доступна.;daily,eating,mindfulness,awareness,simple
237;Журнал достижений дня;reflection;12;1;low;false;false;1;14;70;Вечером запиши 3 вещи, которые сделал сегодня | Даже маленькие: встал вовремя, позвонил другу, сделал работу | Признавай свои действия | Замечай прогресс;none;Повышает самооценку, помогает видеть прогресс, снижает ощущение «ничего не сделал», развивает признание себя.;reflection,achievements,self_esteem,progress,recognition
